"","Hour","Rider","Trips"
"850","16","Member",32269
"851","17","Casual",39201
"852","17","Member",41777
"853","18","Casual",35756
"854","18","Member",35465
"855","19","Casual",28567
"856","19","Member",26519
"857","20","Casual",20277
"858","20","Member",18021
"859","21","Casual",17287
"860","21","Member",13223
"861","22","Casual",15037
"862","22","Member",9822
"863","23","Casual",11742
"864","23","Member",6733
"865","0","Casual",7490
"866","0","Member",4233
"867","1","Casual",4990
"868","1","Member",2630
"869","2","Casual",3119
"870","2","Member",1471
"871","3","Casual",1846
"872","3","Member",872
"873","4","Casual",1464
"874","4","Member",1064
"875","5","Casual",1930
"876","5","Member",3697
"877","6","Casual",4316
"878","6","Member",10874
"879","7","Casual",7927
"880","7","Member",19820
"881","8","Casual",10332
"882","8","Member",22626
"883","9","Casual",11967
"884","9","Member",16951
"885","10","Casual",15578
"886","10","Member",16176
"887","11","Casual",19817
"888","11","Member",19298
"889","12","Casual",22854
"890","12","Member",22546
"891","13","Casual",23935
"892","13","Member",21185
"893","14","Casual",24126
"894","14","Member",20916
"895","15","Casual",26697
"896","15","Member",24946
"897","16","Casual",29454
"898","16","Member",33582
"899","17","Casual",34730
"900","17","Member",41852
"901","18","Casual",32142
"902","18","Member",35933
"903","19","Casual",23313
"904","19","Member",24738
"905","20","Casual",16008
"906","20","Member",16406
"907","21","Casual",14465
"908","21","Member",13117
"909","22","Casual",14570
"910","22","Member",10360
"911","23","Casual",10820
"912","23","Member",6964
"913","0","Casual",5570
"914","0","Member",4446
"915","1","Casual",4327
"916","1","Member",3130
"917","2","Casual",2809
"918","2","Member",1846
"919","3","Casual",1503
"920","3","Member",1041
"921","4","Casual",1034
"922","4","Member",958
"923","5","Casual",1494
"924","5","Member",3476
"925","6","Casual",3018
"926","6","Member",8998
"927","7","Casual",6119
"928","7","Member",17918
"929","8","Casual",8392
"930","8","Member",22704
"931","9","Casual",9929
"932","9","Member",17650
"933","10","Casual",13162
"934","10","Member",17053
"935","11","Casual",16125
"936","11","Member",20135
"937","12","Casual",17249
"938","12","Member",22415
"939","13","Casual",17955
"940","13","Member",21751
"941","14","Casual",18163
"942","14","Member",20718
"943","15","Casual",19590
"944","15","Member",24086
"945","16","Casual",20119
"946","16","Member",31098
"947","17","Casual",22370
"948","17","Member",38463
"949","18","Casual",19714
"950","18","Member",31973
"951","19","Casual",13797
"952","19","Member",21526
"953","20","Casual",9716
"954","20","Member",14753
"955","21","Casual",9264
"956","21","Member",12092
"957","22","Casual",8845
"958","22","Member",9222
"959","23","Casual",6978
"960","23","Member",6532
"961","0","Casual",1941
"962","0","Member",2448
"963","1","Casual",1456
"964","1","Member",1571
"965","2","Casual",941
"966","2","Member",805
"967","3","Casual",563
"968","3","Member",529
"969","4","Casual",444
"970","4","Member",639
"971","5","Casual",743
"972","5","Member",2665
"973","6","Casual",1595
"974","6","Member",7107
"975","7","Casual",3112
"976","7","Member",13853
"977","8","Casual",3558
"978","8","Member",16828
"979","9","Casual",3908
"980","9","Member",11954
"981","10","Casual",4902
"982","10","Member",11136
"983","11","Casual",5943
"984","11","Member",13099
"985","12","Casual",7111
"986","12","Member",15134
"987","13","Casual",7658
"988","13","Member",15335
"989","14","Casual",8077
"990","14","Member",15148
"991","15","Casual",9165
"992","15","Member",18351
"993","16","Casual",9212
"994","16","Member",22496
"995","17","Casual",9345
"996","17","Member",25246
"997","18","Casual",7832
"998","18","Member",19558
"999","19","Casual",5786
"1000","19","Member",13295
"1001","20","Casual",4050
"1002","20","Member",9494
"1003","21","Casual",3640
"1004","21","Member",7160
"1005","22","Casual",3448
"1006","22","Member",5472
"1007","23","Casual",2499
"1008","23","Member",3726
"1009","0","Casual",1329
"1010","0","Member",1780
"1011","1","Casual",973
"1012","1","Member",1187
"1013","2","Casual",697
"1014","2","Member",617
"1015","3","Casual",394
"1016","3","Member",365
"1017","4","Casual",385
"1018","4","Member",516
"1019","5","Casual",536
"1020","5","Member",2025
"1021","6","Casual",1004
"1022","6","Member",4891
"1023","7","Casual",1894
"1024","7","Member",9654
"1025","8","Casual",2443
"1026","8","Member",11884
"1027","9","Casual",2429
"1028","9","Member",8488
"1029","10","Casual",3139
"1030","10","Member",8081
"1031","11","Casual",4157
"1032","11","Member",10014
"1033","12","Casual",4882
"1034","12","Member",11330
"1035","13","Casual",5183
"1036","13","Member",11606
"1037","14","Casual",5470
"1038","14","Member",11548
"1039","15","Casual",5908
"1040","15","Member",13395
"1041","16","Casual",5891
"1042","16","Member",15448
"1043","17","Casual",5468
"1044","17","Member",16332
"1045","18","Casual",4612
"1046","18","Member",12750
"1047","19","Casual",3608
"1048","19","Member",8662
"1049","20","Casual",2641
"1050","20","Member",6144
"1051","21","Casual",2377
"1052","21","Member",4537
"1053","22","Casual",2420
"1054","22","Member",3852
"1055","23","Casual",1898
"1056","23","Member",2696
"1057","0","Casual",434
"1058","0","Member",648
"1059","1","Casual",402
"1060","1","Member",456
"1061","2","Casual",329
"1062","2","Member",334
"1063","3","Casual",142
"1064","3","Member",195
"1065","4","Casual",98
"1066","4","Member",254
"1067","5","Casual",160
"1068","5","Member",1288
"1069","6","Casual",279
"1070","6","Member",2610
"1071","7","Casual",514
"1072","7","Member",4738
"1073","8","Casual",603
"1074","8","Member",5517
"1075","9","Casual",619
"1076","9","Member",3839
"1077","10","Casual",877
"1078","10","Member",3577
"1079","11","Casual",1052
"1080","11","Member",4453
"1081","12","Casual",1253
"1082","12","Member",5229
"1083","13","Casual",1239
"1084","13","Member",5211
"1085","14","Casual",1379
"1086","14","Member",5230
"1087","15","Casual",1484
"1088","15","Member",6404
"1089","16","Casual",1548
"1090","16","Member",8022
"1091","17","Casual",1536
"1092","17","Member",8743
"1093","18","Casual",1334
"1094","18","Member",6482
"1095","19","Casual",944
"1096","19","Member",4539
"1097","20","Casual",670
"1098","20","Member",2880
"1099","21","Casual",628
"1100","21","Member",2121
"1101","22","Casual",536
"1102","22","Member",1498
"1103","23","Casual",460
"1104","23","Member",982
"1105","0","Casual",331
"1106","0","Member",627
"1107","1","Casual",249
"1108","1","Member",433
"1109","2","Casual",168
"1110","2","Member",315
"1111","3","Casual",116
"1112","3","Member",158
"1113","4","Casual",102
"1114","4","Member",288
"1115","5","Casual",185
"1116","5","Member",1261
"1117","6","Casual",324
"1118","6","Member",2758
"1119","7","Casual",604
"1120","7","Member",5767
"1121","8","Casual",791
"1122","8","Member",6777
"1123","9","Casual",689
"1124","9","Member",4449
"1125","10","Casual",862
"1126","10","Member",3901
"1127","11","Casual",1154
"1128","11","Member",4738
"1129","12","Casual",1408
"1130","12","Member",5854
"1131","13","Casual",1564
"1132","13","Member",5715
"1133","14","Casual",1665
"1134","14","Member",5691
"1135","15","Casual",1886
"1136","15","Member",6656
"1137","16","Casual",1993
"1138","16","Member",8560
"1139","17","Casual",2009
"1140","17","Member",9754
"1141","18","Casual",1488
"1142","18","Member",7068
"1143","19","Casual",1113
"1144","19","Member",4847
"1145","20","Casual",762
"1146","20","Member",3053
"1147","21","Casual",751
"1148","21","Member",2528
"1149","22","Casual",697
"1150","22","Member",1800
"1151","23","Casual",505
"1152","23","Member",1195
"1153","0","Casual",1069
"1154","0","Member",1423
"1155","1","Casual",743
"1156","1","Member",827
"1157","2","Casual",450
"1158","2","Member",454
"1159","3","Casual",301
"1160","3","Member",400
"1161","4","Casual",226
"1162","4","Member",460
"1163","5","Casual",423
"1164","5","Member",2074
"1165","6","Casual",945
"1166","6","Member",5363
"1167","7","Casual",2133
"1168","7","Member",11730
"1169","8","Casual",2850
"1170","8","Member",13758
"1171","9","Casual",2577
"1172","9","Member",8527
"1173","10","Casual",3287
"1174","10","Member",7858
"1175","11","Casual",4670
"1176","11","Member",9357
"1177","12","Casual",6136
"1178","12","Member",11276
"1179","13","Casual",6852
"1180","13","Member",11183
"1181","14","Casual",7768
"1182","14","Member",11326
"1183","15","Casual",8368
"1184","15","Member",13499
"1185","16","Casual",9042
"1186","16","Member",18199
"1187","17","Casual",9681
"1188","17","Member",21372
"1189","18","Casual",7681
"1190","18","Member",16210
"1191","19","Casual",4829
"1192","19","Member",10489
"1193","20","Casual",3095
"1194","20","Member",6828
"1195","21","Casual",2508
"1196","21","Member",5233
"1197","22","Casual",2403
"1198","22","Member",3803
"1199","23","Casual",1845
"1200","23","Member",2511
"1201","0","Casual",2082
"1202","0","Member",2155
"1203","1","Casual",1365
"1204","1","Member",1399
"1205","2","Casual",885
"1206","2","Member",701
"1207","3","Casual",611
"1208","3","Member",495
"1209","4","Casual",410
"1210","4","Member",626
"1211","5","Casual",638
"1212","5","Member",2223
"1213","6","Casual",1314
"1214","6","Member",6624
"1215","7","Casual",2780
