"","Year","Month","DayOfWeek","Bike","Trips"
"428","2022","Mar","Sun","Electric",18579
"429","2022","Mar","Mon","Classic",21171
"430","2022","Mar","Mon","Docked",1569
"431","2022","Mar","Mon","Electric",21158
"432","2022","Mar","Tue","Classic",21003
"433","2022","Mar","Tue","Docked",746
"434","2022","Mar","Tue","Electric",22811
"435","2022","Mar","Wed","Classic",24295
"436","2022","Mar","Wed","Docked",1206
"437","2022","Mar","Wed","Electric",24996
"438","2022","Mar","Thu","Classic",20235
"439","2022","Mar","Thu","Docked",896
"440","2022","Mar","Thu","Electric",23034
"441","2022","Mar","Fri","Classic",12049
"442","2022","Mar","Fri","Docked",536
"443","2022","Mar","Fri","Electric",15063
"444","2022","Mar","Sat","Classic",17589
"445","2022","Mar","Sat","Docked",1438
"446","2022","Mar","Sat","Electric",15604
"447","2022","Apr","Sun","Classic",20465
"448","2022","Apr","Sun","Docked",2204
"449","2022","Apr","Sun","Electric",22176
"450","2022","Apr","Mon","Classic",20803
"451","2022","Apr","Mon","Docked",992
"452","2022","Apr","Mon","Electric",24199
"453","2022","Apr","Tue","Classic",25315
"454","2022","Apr","Tue","Docked",1093
"455","2022","Apr","Tue","Electric",28574
"456","2022","Apr","Wed","Classic",18635
"457","2022","Apr","Wed","Docked",687
"458","2022","Apr","Wed","Electric",23522
"459","2022","Apr","Thu","Classic",23959
"460","2022","Apr","Thu","Docked",1390
"461","2022","Apr","Thu","Electric",30025
"462","2022","Apr","Fri","Classic",21866
"463","2022","Apr","Fri","Docked",1441
"464","2022","Apr","Fri","Electric",29506
"465","2022","Apr","Sat","Classic",35669
"466","2022","Apr","Sat","Docked",4309
"467","2022","Apr","Sat","Electric",34419
"468","2022","May","Sun","Classic",53510
"469","2022","May","Sun","Docked",6134
"470","2022","May","Sun","Electric",44451
"471","2022","May","Mon","Classic",56559
"472","2022","May","Mon","Docked",4891
"473","2022","May","Mon","Electric",48080
"474","2022","May","Tue","Classic",48597
"475","2022","May","Tue","Docked",2923
"476","2022","May","Tue","Electric",43090
"477","2022","May","Wed","Classic",33467
"478","2022","May","Wed","Docked",1688
"479","2022","May","Wed","Electric",34008
"480","2022","May","Thu","Classic",42851
"481","2022","May","Thu","Docked",2564
"482","2022","May","Thu","Electric",39647
"483","2022","May","Fri","Classic",37286
